activity_code_category,activity_code,activity_code_definition,activity_code_notes
Other Social And Welfare Activities,567,Draft counseling,
Other Social And Welfare Activities,568,Vocational counseling,
Other Social And Welfare Activities,569,Referral service (social agencies),
Other Social And Welfare Activities,572,Rehabilitating convicts or ex-convicts,
Other Social And Welfare Activities,573,"Rehabilitating alcoholics, drug abusers, compulsive gamblers, etc.",
Other Social And Welfare Activities,574,Day care center,
Other Social And Welfare Activities,575,Services for the aged,See also 153 and 382
Other Social And Welfare Activities,See Notes,Scholarships for children of employees,Use code 039
Other Social And Welfare Activities,039,Scholarships (other),Use code 040
Other Social And Welfare Activities,040,Student loans,Use code 041
Other Social And Welfare Activities,041,Training or aid to the handicapped,See 031 and 160
Activities And Purposes,600,"Community Chest, United Way, etc.",
Activities And Purposes,601,Booster club,
Activities And Purposes,602,Gifts grants or loans to other organizations,
Activities And Purposes,603,Non-financial services of facilities to other organizations,
Other Purposes And Activities,900,Cemetery or burial activities,
Other Purposes And Activities,901,"Perpetual (care fund (cemetery, columbarium, etc)",
Other Purposes And Activities,902,Emergency or disaster aid fund,
Other Purposes And Activities,903,Community trust or component,
Other Purposes And Activities,904,Government instrumentality or agency,See also 254
Other Purposes And Activities,905,Testing products for public safety,
Other Purposes And Activities,906,Consumer interest group,
Other Purposes And Activities,907,Veterans activities,
Other Purposes And Activities,908,Patriotic activities,
Other Purposes And Activities,909,Non-exempt charitable trust described in section 4947(a)(1) of the Code,
Other Purposes And Activities,910,Domestic organization with activities outside U.S.,
Other Purposes And Activities,911,Foreign organization,
Other Purposes And Activities,912,Title holding corporation,
Other Purposes And Activities,913,Prevention of cruelty to animals,
Other Purposes And Activities,914,Achievement pries of awards,
Other Purposes And Activities,915,Erection or maintenance of public building or works,
Other Purposes And Activities,916,"Cafeteria, restaurant, snack bar, food services, etc.",
Other Purposes And Activities,917,"Thrift ship, retail outlet, etc.",
Other Purposes And Activities,918,"Book, gift or supply store",
Other Purposes And Activities,919,Advertising,
Other Purposes And Activities,920,Association of employees,
Other Purposes And Activities,921,Loans or credit reporting,
Other Purposes And Activities,922,Endowment fund or financial services,
Other Purposes And Activities,923,"Indians (tribes, cultures, etc.)",
Other Purposes And Activities,924,Traffic or tariff bureau,
Other Purposes And Activities,925,Section 501(c)(1) with 50% deductibility,
Other Purposes And Activities,926,Government instrumentality other than section 501(c),
Other Purposes And Activities,928,4947(a)(2) trust,
Other Purposes And Activities,930,Prepaid legal services pan exempt under IRC section 501(c)(20),
Other Purposes And Activities,931,Withdrawal liability payment fund,
Other Purposes And Activities,990,Section 501(k) child care organization,
Other Purposes And Activities,994,Described in section 170(b)1)(a)(vi) of the Code,
Other Purposes And Activities,995,Described in section 509(a)(2) of the Code,
Other Purposes And Activities,998,Unspecified,
